username,nom,categorie,biographie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,tiktok_following,tiktok_likes,youtube_subscribers,youtube_views,twitter_followers,score_influence,url_profil,photo_url,source,date_collecte
samiatrabelsiii,Samiatrabelsiii,Actors,𝓢𝓪𝓶𝓲𝓪 𝓽𝓻𝓪𝓫𝓮𝓵𝓼𝓲 I have a vision 𝓐𝓒𝓣𝓡𝓔𝓢𝓢 🎭 and much more,2200000,1000,1200,657900,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/samiatrabelsiii,https://www.influenceurs.tn/uploads/samiatrabelsiii.jpg,influenceurs.tn,2026-03-17 15:30:56
yousr.fg,Yousr.fg,Lifestyle,@yousrferjani 📍Paris Based 🇫🇷 📧: yocontactpro@gmail.com Yousr.collaborations@gmail.com,1500000,518,68,1200000,0,0,0,0,0,56,https://www.influenceurs.tn/influencer/show/yousr.fg,https://www.influenceurs.tn/uploads/yousr.fg.jpg,influenceurs.tn,2026-03-17 15:30:59
marambenazizaofficial,Marambenazizaofficial,"Actors, TV Host",#lajoiedevivre 🧚🏼‍♀ | Actress - Model - Entrepreneur 🍽 | Owner : @omek_houria AmBassador : @milocosmetics,2600000,1,1500,40600,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/marambenazizaofficial,https://www.influenceurs.tn/uploads/marambenazizaofficial.jpg,influenceurs.tn,2026-03-17 15:31:02
aymenabdennour_,Aymenabdennour,Sport,Étoile du Sahel 🇹🇳 Werder bremen 🇩🇪 Toulouse Fc 🇫🇷 AS Monaco 🇲🇨 Valencia CF 🇪🇸 Olympique de Marseille 🇫🇷 Kayserispor 🇹🇷 Umm salal 🇶🇦 rodez 🇫🇷,2600000,2200,429,0,0,0,0,0,0,50,https://www.influenceurs.tn/influencer/show/aymenabdennour_,https://www.influenceurs.tn/uploads/aymenabdennour_.jpg,influenceurs.tn,2026-03-17 15:31:05
lobnasediri,Lobnasediri,Actors,"|| Actress , Tv presenter || God and family first 🙏 Manager : @legend_digitall",1700000,1100,281,783500,0,0,0,0,0,60,https://www.influenceurs.tn/influencer/show/lobnasediri,https://www.influenceurs.tn/uploads/lobnasediri.jpg,influenceurs.tn,2026-03-17 15:31:15
maaloul_ali_,Maaloul ali,Sport,⚽️Professional Footballer 🦅 @alahlyegypt 🇹🇳Tunisian National Team Player 💻Social Media Management @cmz_sports 📝@adidasmena For contact @mgb_agency,2500000,369,266,0,0,0,0,0,0,50,https://www.influenceurs.tn/influencer/show/maaloul_ali_,https://www.influenceurs.tn/uploads/maaloul_ali_.jpg,influenceurs.tn,2026-03-17 15:31:19
gharbiikarim,Gharbiikarim,Actors,"Acteur, comédien,chroniqueur,animateur et professeur de théâtre",2300000,3600,1500,187600,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/gharbiikarim,https://www.influenceurs.tn/uploads/gharbiikarim.jpg,influenceurs.tn,2026-03-17 15:31:23
samara_riahi,Dorra zarrouk,Actors,Samara Riahi Booking : samara.le.sa.info@gmail.com,16700000,834,27,1200000,0,0,0,0,0,64,https://www.influenceurs.tn/influencer/show/samara_riahi,https://www.influenceurs.tn/uploads/samara_riahi.jpg,influenceurs.tn,2026-03-17 15:31:34
zaiemhedi,Zaiemhedi,TV Host,Tunisian 🇹🇳 Tv Host Elhiwar Ettounsi Mosaique Fm Presenter and Producer,2200000,2000,1900,160500,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/zaiemhedi,https://www.influenceurs.tn/uploads/zaiemhedi.jpg,influenceurs.tn,2026-03-17 15:31:43
khaoulaslimaniofficial,Khaoulaslimaniofficial,TV Host,Tuniso-suisse🇹🇳🇨🇭Actress | producer |TV Host| Coach Founder & Ambassador of @beautyhouse_by_khaoula_slimani,2200000,409,764,148300,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/khaoulaslimaniofficial,https://www.influenceurs.tn/uploads/khaoulaslimaniofficial.jpg,influenceurs.tn,2026-03-17 15:31:46
samy.chaffai,Samy.chaffai,Video Blogger,📍Currently in 🇶🇦 | 🇹🇳 *PhD Film Student - Film Director *Producer & Owner of @teleported_production *Art Director & member of @tawadigitaltalents,1300000,2200,157,995800,0,0,0,0,0,56,https://www.influenceurs.tn/influencer/show/samy.chaffai,https://www.influenceurs.tn/uploads/samy.chaffai.jpg,influenceurs.tn,2026-03-17 15:31:48
theswaggmantv,Theswaggmantv,Rap,"Swagg Man®💋 🇺🇸🇧🇷🇫🇷 9X📀.😍Fashion Icon & Addict/Styles,Rare/Limited Edition Goods/Vintage💎⌚️👖🧢👕👟🕶/🎥🎹🎼🖤Animals🖤Cars🚗🖤🛥 📍Miami🏝FL🇺🇸🛩 🎤@swmentertainment 📦@poseybrofficial",1000000,5600,5900,1300000,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/theswaggmantv,https://www.influenceurs.tn/uploads/theswaggmantv.jpg,influenceurs.tn,2026-03-17 15:31:52
rymooshka,Rymooshka,Lifestyle,BRAND AMBASSADOR 👗 TV Presenter,2200000,405,1200,20,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/rymooshka,https://www.influenceurs.tn/uploads/rymooshka.jpg,influenceurs.tn,2026-03-17 15:31:57
lotfiabdelli,Lotfiabdelli,Actors,Prochain spectacle a Paris tous les dimanches au théâtre bo à 19 h c politiquement incorrect 😂😂,2200000,5100,55,47600,0,0,0,0,0,56,https://www.influenceurs.tn/influencer/show/lotfiabdelli,https://www.influenceurs.tn/uploads/lotfiabdelli.jpg,influenceurs.tn,2026-03-17 15:32:04
rachabenmaouia_,Rachabenmaouia,Actors,Founder & CEO of @chacha_by_racha 🤍,2100000,1600,973,46800,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/rachabenmaouia_,https://www.influenceurs.tn/uploads/rachabenmaouia_.jpg,influenceurs.tn,2026-03-17 15:32:13
samiramagroun,Samiramagroun,Actors,Brand ambassador @opel_tn Tunisian actress ✨,2100000,2200,2200,1100,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/samiramagroun,https://www.influenceurs.tn/uploads/samiramagroun.jpg,influenceurs.tn,2026-03-17 15:32:18
amira_al_jaziri,Amira al jaziri,Modeling,"TV anchor, Entrepreneur & Activist Founder of @aljaziri_couture Vice President of the international council of women entrepreneur ME",2000000,831,308,66400,0,0,0,0,0,60,https://www.influenceurs.tn/influencer/show/amira_al_jaziri,https://www.influenceurs.tn/uploads/amira_al_jaziri.jpg,influenceurs.tn,2026-03-17 15:32:21
sami.fehri1,Sami.fehri1,TV Host,,2100000,1500,640,0,0,0,0,0,0,53,https://www.influenceurs.tn/influencer/show/sami.fehri1,https://www.influenceurs.tn/uploads/sami.fehri1.jpg,influenceurs.tn,2026-03-17 15:32:26
bassoum_hamraoui,Bassoum hamraoui,Humor,Tunisian 🇹🇳 Manager: helmi.chemak Booking : +21627663239 Beta.production.contact@gmail.com,1900000,374,600,94900,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/bassoum_hamraoui,https://www.influenceurs.tn/uploads/bassoum_hamraoui.jpg,influenceurs.tn,2026-03-17 15:32:30
aymenabdennour_,Aymenabdennour,Sport,Étoile du Sahel 🇹🇳 Werder bremen 🇩🇪 Toulouse Fc 🇫🇷 AS Monaco 🇲🇨 Valencia CF 🇪🇸 Olympique de Marseille 🇫🇷 Kayserispor 🇹🇷 Umm salal 🇶🇦 rodez 🇫🇷,2600000,2200,429,0,0,0,0,0,0,50,https://www.influenceurs.tn/influencer/show/aymenabdennour_,https://www.influenceurs.tn/uploads/aymenabdennour_.jpg,influenceurs.tn,2026-03-17 15:32:32
lobnasediri,Lobnasediri,Actors,"|| Actress , Tv presenter || God and family first 🙏 Manager : @legend_digitall",1700000,1100,281,783500,0,0,0,0,0,60,https://www.influenceurs.tn/influencer/show/lobnasediri,https://www.influenceurs.tn/uploads/lobnasediri.jpg,influenceurs.tn,2026-03-17 15:32:36
maaloul_ali_,Maaloul ali,Sport,⚽️Professional Footballer 🦅 @alahlyegypt 🇹🇳Tunisian National Team Player 💻Social Media Management @cmz_sports 📝@adidasmena For contact @mgb_agency,2500000,369,266,0,0,0,0,0,0,50,https://www.influenceurs.tn/influencer/show/maaloul_ali_,https://www.influenceurs.tn/uploads/maaloul_ali_.jpg,influenceurs.tn,2026-03-17 15:32:39
gharbiikarim,Gharbiikarim,Actors,"Acteur, comédien,chroniqueur,animateur et professeur de théâtre",2300000,3600,1500,187600,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/gharbiikarim,https://www.influenceurs.tn/uploads/gharbiikarim.jpg,influenceurs.tn,2026-03-17 15:32:42
samara_riahi,Dorra zarrouk,Actors,Samara Riahi Booking : samara.le.sa.info@gmail.com,16700000,834,27,1200000,0,0,0,0,0,64,https://www.influenceurs.tn/influencer/show/samara_riahi,https://www.influenceurs.tn/uploads/samara_riahi.jpg,influenceurs.tn,2026-03-17 15:32:44
zaiemhedi,Zaiemhedi,TV Host,Tunisian 🇹🇳 Tv Host Elhiwar Ettounsi Mosaique Fm Presenter and Producer,2200000,2000,1900,160500,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/zaiemhedi,https://www.influenceurs.tn/uploads/zaiemhedi.jpg,influenceurs.tn,2026-03-17 15:32:49
khaoulaslimaniofficial,Khaoulaslimaniofficial,TV Host,Tuniso-suisse🇹🇳🇨🇭Actress | producer |TV Host| Coach Founder & Ambassador of @beautyhouse_by_khaoula_slimani,2200000,409,764,148300,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/khaoulaslimaniofficial,https://www.influenceurs.tn/uploads/khaoulaslimaniofficial.jpg,influenceurs.tn,2026-03-17 15:32:52
samy.chaffai,Samy.chaffai,Video Blogger,📍Currently in 🇶🇦 | 🇹🇳 *PhD Film Student - Film Director *Producer & Owner of @teleported_production *Art Director & member of @tawadigitaltalents,1300000,2200,157,995800,0,0,0,0,0,56,https://www.influenceurs.tn/influencer/show/samy.chaffai,https://www.influenceurs.tn/uploads/samy.chaffai.jpg,influenceurs.tn,2026-03-17 15:32:56
theswaggmantv,Theswaggmantv,Rap,"Swagg Man®💋 🇺🇸🇧🇷🇫🇷 9X📀.😍Fashion Icon & Addict/Styles,Rare/Limited Edition Goods/Vintage💎⌚️👖🧢👕👟🕶/🎥🎹🎼🖤Animals🖤Cars🚗🖤🛥 📍Miami🏝FL🇺🇸🛩 🎤@swmentertainment 📦@poseybrofficial",1000000,5600,5900,1300000,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/theswaggmantv,https://www.influenceurs.tn/uploads/theswaggmantv.jpg,influenceurs.tn,2026-03-17 15:33:09
rymooshka,Rymooshka,Lifestyle,BRAND AMBASSADOR 👗 TV Presenter,2200000,405,1200,20,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/rymooshka,https://www.influenceurs.tn/uploads/rymooshka.jpg,influenceurs.tn,2026-03-17 15:33:11
lotfiabdelli,Lotfiabdelli,Actors,Prochain spectacle a Paris tous les dimanches au théâtre bo à 19 h c politiquement incorrect 😂😂,2200000,5100,55,47600,0,0,0,0,0,56,https://www.influenceurs.tn/influencer/show/lotfiabdelli,https://www.influenceurs.tn/uploads/lotfiabdelli.jpg,influenceurs.tn,2026-03-17 15:33:15
rachabenmaouia_,Rachabenmaouia,Actors,Founder & CEO of @chacha_by_racha 🤍,2100000,1600,973,46800,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/rachabenmaouia_,https://www.influenceurs.tn/uploads/rachabenmaouia_.jpg,influenceurs.tn,2026-03-17 15:33:18
samiramagroun,Samiramagroun,Actors,Brand ambassador @opel_tn Tunisian actress ✨,2100000,2200,2200,1100,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/samiramagroun,https://www.influenceurs.tn/uploads/samiramagroun.jpg,influenceurs.tn,2026-03-17 15:33:22
amira_al_jaziri,Amira al jaziri,Modeling,"TV anchor, Entrepreneur & Activist Founder of @aljaziri_couture Vice President of the international council of women entrepreneur ME",2000000,831,308,66400,0,0,0,0,0,60,https://www.influenceurs.tn/influencer/show/amira_al_jaziri,https://www.influenceurs.tn/uploads/amira_al_jaziri.jpg,influenceurs.tn,2026-03-17 15:33:25
sami.fehri1,Sami.fehri1,TV Host,,2100000,1500,640,0,0,0,0,0,0,53,https://www.influenceurs.tn/influencer/show/sami.fehri1,https://www.influenceurs.tn/uploads/sami.fehri1.jpg,influenceurs.tn,2026-03-17 15:33:29
bassoum_hamraoui,Bassoum hamraoui,Humor,Tunisian 🇹🇳 Manager: helmi.chemak Booking : +21627663239 Beta.production.contact@gmail.com,1900000,374,600,94900,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/bassoum_hamraoui,https://www.influenceurs.tn/uploads/bassoum_hamraoui.jpg,influenceurs.tn,2026-03-17 15:33:34
rymsaidi,Rymsaidi,Modeling,Fashion | Acting | TV Presenting Based in 🇦🇪 🇹🇳 blood ❤️ 🇮🇹 by adoption ❤️ 🇱🇧❤️ #stopchildrenabuse #notopedophilia,1800000,2600,2500,98700,0,0,0,0,0,63,https://www.influenceurs.tn/influencer/show/rymsaidi,https://www.influenceurs.tn/uploads/rymsaidi.jpg,influenceurs.tn,2026-03-17 15:33:37
myriemboukadida,Myriemboukadida,Modeling,"Model, Actress 🪐",1300000,628,335,612600,0,0,0,0,0,60,https://www.influenceurs.tn/influencer/show/myriemboukadida,https://www.influenceurs.tn/uploads/myriemboukadida.jpg,influenceurs.tn,2026-03-17 15:33:41
